"","phase","group","roi","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","baseline","healthy","hc_body_ers",0.0223084954363088,0.0118546400461238,Inf,-0.000926172103780095,0.0455431629763977
"2","conditioning","healthy","hc_body_ers",0.0307882250178202,0.0118681633888439,Inf,0.00752705221304922,0.0540493978225911
"3","extinction","healthy","hc_body_ers",0.0188776971682585,0.0118675535569835,Inf,-0.00438228038802932,0.0421376747245463
"4","baseline","ptsd","hc_body_ers",0.0386446975140071,0.0118808153136107,Inf,0.0153587273923581,0.061930667635656
"5","conditioning","ptsd","hc_body_ers",0.024204789139445,0.0118762027825496,Inf,0.000927859412553453,0.0474817188663365
"6","extinction","ptsd","hc_body_ers",0.00688778301091623,0.011915120664468,Inf,-0.01646542436289,0.0302409903847225
"7","baseline","healthy","hc_head_ers",0.033310371173193,0.0118546400461238,Inf,0.0100757036331041,0.0565450387132819
"8","conditioning","healthy","hc_head_ers",-0.000932554109259979,0.0118681633888439,Inf,-0.0241937269140309,0.022328618695511
"9","extinction","healthy","hc_head_ers",0.063693079648037,0.0118675535569835,Inf,0.0404331020917492,0.0869530572043248
"10","baseline","ptsd","hc_head_ers",0.0148934247753237,0.0118808153136107,Inf,-0.00839254534632523,0.0381793948969727
"11","conditioning","ptsd","hc_head_ers",0.0168448446363122,0.0118762027825496,Inf,-0.00643208509057926,0.0401217743632037
"12","extinction","ptsd","hc_head_ers",0.00329764407162613,0.011915120664468,Inf,-0.0200555633021801,0.0266508514454324
"13","baseline","healthy","hc_tail_ers",0.0170779221922363,0.0118546400461238,Inf,-0.00615674534785254,0.0403125897323252
"14","conditioning","healthy","hc_tail_ers",0.0320928543454131,0.0118681633888439,Inf,0.00883168154064218,0.055354027150184
"15","extinction","healthy","hc_tail_ers",-0.0115368271130557,0.0118675535569835,Inf,-0.0347968046693435,0.0117231504432321
"16","baseline","ptsd","hc_tail_ers",0.00633306749874548,0.0118808153136107,Inf,-0.0169529026229035,0.0296190376203945
"17","conditioning","ptsd","hc_tail_ers",0.0504540172821018,0.0118762027825496,Inf,0.0271770875552103,0.0737309470089933
"18","extinction","ptsd","hc_tail_ers",0.00718911842522491,0.011915120664468,Inf,-0.0161640889485813,0.0305423257990312
