group,phase,condition,low,high
healthy,baseline,CS+,0.75 (0.17),0.5 (0.22)
healthy,baseline,CS-,0.72 (0.17),0.45 (0.22)
healthy,acquisition,CS+,0.84 (0.17),0.59 (0.27)
healthy,acquisition,CS-,0.65 (0.22),0.38 (0.26)
healthy,extinction,CS+,0.7 (0.2),0.41 (0.29)
healthy,extinction,CS-,0.59 (0.19),0.31 (0.21)
ptsd,baseline,CS+,0.78 (0.14),0.59 (0.18)
ptsd,baseline,CS-,0.73 (0.19),0.5 (0.21)
ptsd,acquisition,CS+,0.83 (0.15),0.62 (0.25)
ptsd,acquisition,CS-,0.68 (0.16),0.45 (0.26)
ptsd,extinction,CS+,0.69 (0.17),0.45 (0.2)
ptsd,extinction,CS-,0.63 (0.19),0.37 (0.22)
