"","contrast","phase","roi","group","estimate","SE","df","asymp.LCL","asymp.UCL"
"1","(CS+) - (CS-)","baseline","dACC","healthy",0.00920968688328157,0.0150353807264705,Inf,-0.0202591178344482,0.0386784916010113
"2","(CS+) - (CS-)","conditioning","dACC","healthy",0.180779174542817,0.0150554699515286,Inf,0.151270995667496,0.210287353418138
"3","(CS+) - (CS-)","extinction","dACC","healthy",0.0428057554159373,0.0150553211508258,Inf,0.0132978681846345,0.07231364264724
"4","(CS+) - (CS-)","baseline","vmPFC","healthy",-0.0121319122655807,0.0150353807264705,Inf,-0.0416007169833105,0.017336892452149
"5","(CS+) - (CS-)","conditioning","vmPFC","healthy",0.0848031849554801,0.0150554699515286,Inf,0.055295006080159,0.114311363830801
"6","(CS+) - (CS-)","extinction","vmPFC","healthy",0.104264104811168,0.0150553211508258,Inf,0.0747562175798653,0.133771992042471
"7","(CS+) - (CS-)","baseline","dACC","ptsd",0.00509786817499507,0.0150753253540277,Inf,-0.0244492265741228,0.0346449629241129
"8","(CS+) - (CS-)","conditioning","dACC","ptsd",0.172472986826309,0.0150687491190768,Inf,0.142938781260849,0.202007192391769
"9","(CS+) - (CS-)","extinction","dACC","ptsd",0.0809212402121702,0.0151290408007326,Inf,0.0512688651220973,0.110573615302243
"10","(CS+) - (CS-)","baseline","vmPFC","ptsd",-0.0440811946430371,0.0150753253540277,Inf,-0.0736282893921549,-0.0145340998939192
"11","(CS+) - (CS-)","conditioning","vmPFC","ptsd",0.0290387975847882,0.0150687491190768,Inf,-0.000495407980671849,0.0585730031502483
"12","(CS+) - (CS-)","extinction","vmPFC","ptsd",0.0508189039737145,0.0151290408007326,Inf,0.0211665288836416,0.0804712790637874
